Date,Total_Accidents
06-09-2009,429
06-09-2010,456
06-09-2011,442
06-09-2012,341
06-09-2014,382
07-09-2005,506
07-09-2007,537
07-09-2009,435
07-09-2011,388
07-09-2013,545
07-09-2014,434
07-09-2015,455
08-09-2005,522
08-09-2007,473
08-09-2009,343
08-09-2011,373
08-09-2013,431
08-09-2015,350
09-09-2005,602
09-09-2006,567
09-09-2007,394
09-09-2008,516
09-09-2009,514
09-09-2011,478
09-09-2013,458
09-09-2015,345
10-09-2006,564
10-09-2008,521
10-09-2009,589
10-09-2010,375
10-09-2011,351
10-09-2012,453
10-09-2013,426
10-09-2015,466
11-09-2006,622
11-09-2008,369
11-09-2010,532
11-09-2012,430
11-09-2014,341
11-09-2015,396
12-09-2006,637
12-09-2008,583
12-09-2010,461
12-09-2012,267
12-09-2014,513
01-10-2005,523
01-10-2007,582
01-10-2008,457
01-10-2009,332
01-10-2011,450
01-10-2013,425
01-10-2015,279
02-10-2006,601
02-10-2008,393
02-10-2009,477
02-10-2011,492
02-10-2012,410
02-10-2013,301
02-10-2015,383
03-10-2006,525
03-10-2008,473
03-10-2010,439
03-10-2012,324
03-10-2013,223
03-10-2014,403
04-10-2006,502
04-10-2008,462
04-10-2010,429
04-10-2012,360
04-10-2014,365
05-10-2005,532
05-10-2006,558
05-10-2007,558
05-10-2008,445
05-10-2010,434
05-10-2012,354
05-10-2014,311
06-10-2005,648
06-10-2007,457
06-10-2009,471
06-10-2011,468
06-10-2012,261
06-10-2014,464
06-10-2015,448
07-10-2005,484
07-10-2007,462
07-10-2009,483
07-10-2011,322
07-10-2013,445
07-10-2015,452
08-10-2005,507
08-10-2007,559
08-10-2009,458
08-10-2011,405
08-10-2013,340
08-10-2015,333
09-10-2006,479
09-10-2007,531
09-10-2008,487
09-10-2009,547
09-10-2010,514
09-10-2011,406
09-10-2013,401
09-10-2015,467
10-10-2006,554
10-10-2008,614
10-10-2010,383
10-10-2011,414
10-10-2012,360
10-10-2013,437
10-10-2014,560
10-10-2015,309
11-10-2006,722
11-10-2008,506
11-10-2010,556
11-10-2012,410
11-10-2014,467
11-10-2015,418
12-10-2005,571
12-10-2006,424
12-10-2008,571
12-10-2010,429
12-10-2012,509
12-10-2014,477
01-11-2006,608
01-11-2008,644
01-11-2010,278
01-11-2012,430
01-11-2013,449
01-11-2015,229
02-11-2006,423
02-11-2008,594
02-11-2010,443
02-11-2012,349
02-11-2014,414
03-11-2006,384
03-11-2007,372
03-11-2008,493
03-11-2010,414
03-11-2012,296
03-11-2014,371
04-11-2005,483
04-11-2007,456
04-11-2008,548
04-11-2009,395
04-11-2010,333
04-11-2011,403
04-11-2012,333
04-11-2014,449
05-11-2005,592
05-11-2007,573
05-11-2009,495
05-11-2011,428
05-11-2012,473
05-11-2013,288
05-11-2015,364
06-11-2005,498
06-11-2007,462
06-11-2009,510
06-11-2011,373
06-11-2013,379
06-11-2015,493
07-11-2005,589
07-11-2006,587
07-11-2007,494
07-11-2009,443
07-11-2011,478
07-11-2013,467
07-11-2015,401
08-11-2006,495
08-11-2008,374
08-11-2010,389
08-11-2011,383
08-11-2013,313
08-11-2014,409
08-11-2015,389
09-11-2006,520
09-11-2008,491
09-11-2010,465
09-11-2012,448
09-11-2014,411
09-11-2015,507
10-11-2006,686
10-11-2008,431
10-11-2010,499
10-11-2012,487
10-11-2014,376
11-11-2005,701
11-11-2007,417
11-11-2008,549
11-11-2009,498
11-11-2010,506
11-11-2012,337
11-11-2014,488
12-11-2005,499
12-11-2007,653
12-11-2009,630
12-11-2011,296
12-11-2013,482
12-11-2014,472
01-12-2006,612
01-12-2008,571
01-12-2010,277
01-12-2012,402
01-12-2013,318
01-12-2014,242
01-12-2015,402
02-12-2006,425
02-12-2008,590
02-12-2010,437
02-12-2012,251
02-12-2014,409
03-12-2005,457
03-12-2006,307
03-12-2007,467
03-12-2008,433
03-12-2010,504
03-12-2012,385
03-12-2014,416
04-12-2005,469
04-12-2007,411
04-12-2009,288
04-12-2011,437
04-12-2012,364
04-12-2014,291
05-12-2005,589
05-12-2007,519
05-12-2009,456
05-12-2011,461
05-12-2013,262
05-12-2015,433
06-12-2005,454
06-12-2007,492
06-12-2009,521
06-12-2011,359
06-12-2013,406
06-12-2015,431
07-12-2006,562
07-12-2007,526
07-12-2008,389
07-12-2009,383
07-12-2010,478
07-12-2011,405
07-12-2013,451
07-12-2015,359
08-12-2006,476
